,s_r_x,shoulder_right,s_r_z,e_r_x,elbow_right,e_r_z,w_r_x,wrist_right,w_r_z,h_r_x,hand_right,h_r_z,ht_x,handtip_right,ht_z,t_r_x,thumb_right,t_r_z
frame,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
1,0.727743,-44.1872,1523.74,-198.609,103.274,1391.5,-22.7265,-28.7414,1472.64,6.61216,-64.5849,1380.11,-81.3765,-38.3268,1327.16,-35.5192,-29.6435,1325.73
2,-5.46689,-42.698,1534.96,-205.873,102.039,1394.21,-27.6321,-34.435,1471.09,19.2208,-73.5451,1385.96,-71.2083,-44.0189,1336.31,-15.8973,-44.341,1322.6
3,-3.79882,-40.6696,1534.32,-205.237,101.346,1395.88,-27.4714,-29.9265,1478.16,28.4006,-77.2155,1404.15,-58.6422,-53.7403,1347.21,-0.328125,-57.1852,1334.88
4,-3.39632,-40.2045,1535.56,-206.071,100.633,1398.14,-27.9269,-27.8712,1483.43,29.1739,-76.81,1411.57,-57.8678,-54.3976,1354.34,1.28311,-58.9047,1341.44
5,-1.88726,-37.3176,1534.24,-206.529,101.015,1397.96,-24.9692,-19.0182,1487.44,30.6178,-74.2853,1419.27,-53.9758,-56.0703,1357.33,3.3418,-60.3471,1348.12
6,-1.87497,-37.3219,1534.28,-206.524,100.994,1397.98,-24.9622,-19.0224,1487.48,30.6311,-74.2971,1419.32,-53.9651,-56.091,1357.39,3.35705,-60.3723,1348.17
7,-1.94146,-39.3664,1535.63,-207.621,101.866,1401.79,-24.7687,-20.1493,1488.14,34.2439,-78.5982,1425.13,-45.5933,-60.7722,1356.47,12.0342,-66.031,1351.7
8,-2.1605,-40.3525,1536.6,-208.9,101.194,1402.98,-24.567,-22.2574,1485.96,37.7691,-82.2998,1427.29,-40.1883,-61.8142,1356.75,19.8707,-70.8397,1352.28
9,-1.96451,-40.2797,1537.25,-209.817,101.498,1405.86,-24.7473,-25.689,1480.9,41.1585,-94.8103,1438.45,-23.6068,-68.2074,1357.45,38.1779,-87.5668,1360.91
10,-2.49228,-40.6188,1538.05,-209.249,102.985,1405.29,-25.4728,-27.0463,1480.63,41.5281,-96.6418,1440.02,-21.0832,-69.0496,1357.29,40.9395,-89.2929,1362.22
11,-2.65273,-40.3759,1537.76,-208.906,104.041,1404.93,-25.3689,-26.4819,1480.2,41.0187,-98.0507,1442.01,-18.3683,-68.9376,1357.42,43.0815,-91.0787,1364.19
12,-2.05079,-40.4512,1537.78,-209.664,104.825,1408.2,-27.3173,-28.6644,1480.93,40.7796,-99.9059,1445.3,-15.3946,-69.1636,1359.13,46.348,-92.397,1367.71
13,-2.05003,-40.4516,1537.78,-209.663,104.823,1408.2,-27.3165,-28.6649,1480.93,40.7809,-99.9073,1445.3,-15.3908,-69.1666,1359.14,46.3512,-92.3999,1367.72
14,-1.96491,-40.4947,1537.97,-209.574,104.632,1408.22,-27.2413,-28.7436,1481.2,40.8879,-100.066,1445.79,-15.1332,-69.4652,1359.47,46.5787,-92.6873,1368.2
15,-1.95964,-40.4972,1537.98,-209.567,104.622,1408.22,-27.2356,-28.7486,1481.21,40.8958,-100.074,1445.81,-15.115,-69.4858,1359.48,46.5925,-92.7017,1368.22
16,-1.13268,-40.2463,1539.38,-209.743,104.684,1410.5,-27.3309,-30.6255,1480.28,39.5181,-104.143,1446.71,-8.2748,-74.0134,1355.32,49.3283,-95.5562,1369.6
17,-1.13235,-40.2466,1539.38,-209.743,104.683,1410.5,-27.3307,-30.6258,1480.29,39.5185,-104.144,1446.72,-8.27349,-74.0148,1355.33,49.3295,-95.5576,1369.6
18,-1.13235,-40.2466,1539.38,-209.743,104.683,1410.5,-27.3307,-30.6258,1480.29,39.5185,-104.144,1446.72,-8.27349,-74.0148,1355.33,49.3295,-95.5576,1369.6
